TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8556.3223,-940.193,-28.975,-266.204,-35910.0,-1662.5,-2467.5,-161.12,-305.52,-387.6
8556.3723,-945.622,-18.788,-277.855,-48728.75,3106.25,-13536.25,-182.4,-287.28,-411.92
8556.4223,-932.08,95.038,-303.475,-53383.75,11978.75,-26958.75,-168.72,-290.32,-392.16
8556.4723,-920.551,25.498,-340.624,-111273.75,20842.5,-69571.25,-165.68,-290.32,-449.92
8556.5223,-869.616,140.849,-411.384,-145005.0,9397.5,-94290.0,-132.24,-287.28,-456.0
8556.5723,-908.29,-294.691,-431.453,-189236.25,21822.5,-116970.0,-130.72,-291.84,-501.6
8556.6223,-882.426,-332.572,-468.724,-141697.5,8750.0,-84157.5,-114.0,-302.48,-510.72
8556.6723,-924.028,-421.022,-418.765,-82757.5,-2590.0,-50391.25,-98.8,-273.6,-530.48
8556.7223,-907.314,-287.859,-396.195,-28980.0,2196.25,-7507.5,-82.08,-270.56,-530.48
8556.7723,-928.176,-223.809,-401.929,-26547.5,-6230.0,5521.25,-112.48,-262.96,-544.16
8556.8223,-897.737,-182.085,-406.87,-13020.0,1653.75,2870.0,-100.32,-252.32,-541.12
8556.8723,-884.378,-184.586,-410.164,-17718.75,350.0,-3788.75,-121.6,-246.24,-559.36
8556.9223,-902.007,-221.613,-423.584,-13965.0,3088.75,-10298.75,-94.24,-243.2,-545.68
8556.9723,-895.724,-229.238,-443.348,-8977.5,376.25,-6466.25,-103.36,-246.24,-560.88
8557.0223,-872.117,-149.572,-450.058,7105.0,4838.75,7008.75,-82.08,-237.12,-545.68
8557.0723,-903.349,-192.943,-429.501,-8435.0,-8828.75,6133.75,-109.44,-240.16,-556.32
8557.1223,-891.088,-183.671,-429.989,2555.0,-8951.25,4628.75,-89.68,-241.68,-541.12
8557.1723,-920.978,-196.42,-417.911,3928.75,-13440.0,682.5,-118.56,-241.68,-550.24
8557.2223,-921.588,-289.201,-428.22,23485.0,-16896.25,2388.75,-100.32,-237.12,-532.0
8557.2723,-955.077,-417.24,-415.349,65975.0,-24998.75,26687.5,-106.4,-244.72,-504.64
8557.3223,-961.665,-519.11,-398.391,158768.75,-28358.75,58686.25,-117.04,-270.56,-510.72
8557.3723,-908.229,-405.772,-462.197,229643.75,-27746.25,106548.75,-164.16,-288.8,-460.56
8557.4223,-773.114,-177.388,-539.484,286685.0,-10648.75,138512.5,-162.64,-297.92,-430.16
8557.4723,-836.31,-61.488,-517.28,286641.25,-5258.75,136806.25,-194.56,-302.48,-373.92
8557.5223,-843.874,156.221,-468.175,267750.0,-7061.25,111685.0,-197.6,-273.6,-346.56
8557.5723,-881.755,297.68,-401.319,242156.25,-14665.0,93843.75,-232.56,-272.08,-296.4
8557.6223,-997.96,422.181,-299.327,115631.25,-7735.0,55956.25,-229.52,-243.2,-275.12
8557.6723,-987.956,325.923,-216.245,55588.75,-25917.5,29102.5,-241.68,-224.96,-247.76
8557.7223,-992.226,237.473,-184.037,-3053.75,-16852.5,-7988.75,-244.72,-228.0,-253.84
8557.7723,-985.577,125.05,-159.088,-16467.5,-13930.0,-21927.5,-243.2,-224.96,-232.56
8557.8223,-988.261,79.056,-168.97,-25506.25,-7638.75,-23546.25,-240.16,-241.68,-232.56
8557.8723,-1001.864,10.187,-123.22,-12460.0,-13081.25,-21297.5,-235.6,-259.92,-221.92
8557.9223,-989.725,40.687,-137.067,2747.5,-7568.75,-17071.25,-246.24,-255.36,-235.6
8557.9723,-992.47,8.845,-114.009,-131.25,-3351.25,-16616.25,-223.44,-264.48,-224.96
8558.0223,-973.255,29.158,-138.409,-4112.5,2345.0,-16082.5,-231.04,-270.56,-232.56
8558.0723,-1003.877,-53.619,-124.928,525.0,-2817.5,-17788.75,-229.52,-281.2,-226.48
8558.1223,-997.228,-69.784,-140.3,14280.0,1925.0,-13781.25,-232.56,-285.76,-241.68
8558.1723,-1054.019,-59.78,-112.545,13877.5,-4086.25,-8251.25,-238.64,-296.4,-231.04
8558.2223,-992.592,-64.66,-116.51,8653.75,-3473.75,-2283.75,-244.72,-294.88,-235.6
8558.2723,-1001.681,-52.033,-112.972,12223.75,-1242.5,-1653.75,-232.56,-307.04,-200.64
8558.3223,-977.098,-40.748,-130.723,5486.25,691.25,-3500.0,-241.68,-287.28,-228.0
8558.3723,-1021.628,-56.059,-124.196,7446.25,-1050.0,-4366.25,-229.52,-308.56,-214.32
8558.4223,-988.261,-73.993,-124.379,4051.25,-1426.25,-3710.0,-237.12,-316.16,-218.88
8558.4723,-1019.005,-56.303,-122.305,7568.75,-3570.0,-1058.75,-220.4,-305.52,-206.72
8558.5223,-1008.208,-53.436,-110.837,2773.75,-6291.25,3001.25,-232.56,-314.64,-226.48
